scores,layer,head
0.4055388,5,10
0.376336,14,16
0.3759423,5,8
0.37044847,14,27
0.3684541,14,21
0.3675969,0,31
0.3663797,5,23
0.36382586,9,10
0.3624149,8,20
0.3617175,5,5
0.36088145,10,22
0.36031607,3,20
0.3598721,15,12
0.3596857,14,15
0.3586684,14,17
0.35848838,4,21
0.35391116,11,16
0.35346326,14,31
0.35317457,2,21
0.3524958,2,28
0.3514091,2,10
0.3506465,2,20
0.35058734,0,29
0.35011217,7,5
0.34965703,10,2
0.34945053,3,13
0.34942544,8,30
0.34928432,7,12
0.34924692,0,5
0.34911922,2,15
0.34876677,3,12
0.34809,12,6
0.34792846,10,20
0.34751287,14,28
0.34738234,5,7
0.3472902,12,15
0.3471248,2,14
0.3471176,14,6
0.34705818,10,7
0.34702533,5,24
0.3464697,14,12
0.34588644,5,4
0.34554273,11,25
0.34544113,14,5
0.34542137,2,3
0.3449696,11,13
0.3449337,12,26
0.34482655,6,10
0.34466612,2,26
0.34450775,10,24
0.34443954,14,0
0.34442654,11,15
0.34402353,3,0
0.34379062,12,27
0.34372967,7,18
0.34357622,5,9
0.34345996,7,9
0.34315628,14,23
0.3429849,3,25
0.34276676,7,3
0.34272927,8,21
0.3424976,13,22
0.3419994,12,11
0.34199864,2,11
0.34198284,15,6
0.34181872,11,21
0.34179974,11,26
0.3415279,6,12
0.34149706,4,23
0.3414933,10,28
0.3414071,4,17
0.3399581,7,2
0.33979246,15,16
0.3397857,14,1
0.33933306,15,23
0.33915913,11,12
0.3390484,13,1
0.3387685,4,6
0.33876848,2,22
0.33838847,11,7
0.33833775,10,14
0.33807644,10,25
0.33775663,5,1
0.3375287,2,18
0.3373351,8,17
0.33717215,12,25
0.33709583,7,30
0.3370701,14,2
0.3370662,5,0
0.3370409,2,0
0.33703792,3,4
0.33696276,13,15
0.33676675,14,10
0.33645034,12,13
0.33633655,10,8
0.3363248,4,1
0.33625886,10,27
0.3361068,8,19
0.33610213,4,28
0.33593106,2,6
0.33580992,14,3
0.33555874,11,20
0.3354144,14,30
0.33529878,14,29
0.33518538,12,30
0.33517858,11,2
0.33480728,2,1
0.33474895,12,24
0.3346169,11,19
0.33444828,7,6
0.33428633,12,28
0.3341592,14,14
0.33411,2,29
0.33395833,6,17
0.33386466,3,27
0.33377773,2,9
0.33361968,11,1
0.33343738,5,6
0.33343232,6,11
0.33334216,4,29
0.33332142,0,7
0.3330889,11,3
0.3329327,2,5
0.33291045,11,27
0.33283314,11,28
0.33266094,2,13
0.3326326,0,28
0.33257964,10,26
0.3322949,11,23
0.3320464,6,18
0.33185384,2,31
0.33178315,5,21
0.33175644,0,6
0.33172166,10,6
0.33142456,13,2
0.33111128,0,25
0.33089316,15,7
0.33082232,4,8
0.33071432,14,22
0.3306212,11,22
0.33055955,10,31
0.33040294,2,23
0.33035347,15,8
0.33026382,14,11
0.33011538,4,30
0.3299651,15,19
0.32994133,3,8
0.32982773,0,30
0.32955995,11,24
0.32954115,11,14
0.32931882,3,3
0.32930872,11,0
0.3291618,11,31
0.32906863,5,11
0.32902426,0,19
0.328879,10,29
0.32887757,3,23
0.3287849,2,16
0.32860473,4,16
0.32844564,10,23
0.32840288,11,6
0.3279831,12,12
0.32747635,4,19
0.32731307,2,8
0.32707924,3,21
0.32617807,11,18
0.32617784,9,9
0.326143,14,4
0.32611534,13,16
0.3259161,6,14
0.32588235,4,0
0.3258496,3,1
0.32540455,13,0
0.32538846,9,7
0.32537255,6,20
0.32537082,11,17
0.32532537,14,8
0.32510912,12,31
0.3249979,0,18
0.3248692,0,12
0.32485765,4,20
0.32447764,5,12
0.32441875,3,6
0.32407418,10,30
0.32387063,13,7
0.32377005,7,28
0.32359454,12,9
0.3235417,11,9
0.32339123,0,13
0.3233462,0,14
0.3232039,3,31
0.32319018,13,13
0.32310194,2,2
0.32307097,11,5
0.32293063,15,13
0.32280186,9,3
0.32279712,0,16
0.32269263,14,13
0.32261795,12,10
0.32242694,3,14
0.32231215,0,15
0.3219867,2,19
0.32175103,15,17
0.32140577,3,9
0.3213336,15,4
0.32129782,11,30
0.3210606,0,4
0.3206624,5,26
0.32011297,13,14
0.32004273,8,23
0.3196789,0,8
0.31962162,13,26
0.31953466,0,17
0.31946695,8,18
0.3193241,5,18
0.31927934,3,16
0.31911972,7,29
0.31900966,6,19
0.3189546,13,28
0.31876734,12,19
0.31865713,11,4
0.31851223,10,1
0.31849423,2,30
0.31827372,10,19
0.31804654,10,21
0.3178911,3,5
0.31777942,4,22
0.31769428,12,14
0.3171487,0,22
0.31695795,15,18
0.31600156,12,23
0.31596053,9,20
0.3158772,8,6
0.3158185,8,11
